CVR;P-nummer;mainPno;namePno;addressPno;zipcodePno;cityPno;protectedPno;phonePno;emailPno;startdatePno;enddatePno;employeesPno;addresscoPno;industrycodePno;industrydescPno
40625550;1024831686;True;CC Produktion ApS;Alrøvej 97;8300.0;Odder;True;;amstrup@ccproduktion.dk;26/06 - 2019;;10-19;Christian Christensen;14610;Avl af smågrise
33872364;1017070459;True;BEDERHOLM SVINEPRODUKTION ApS;Nautrupvej 20;7830.0;Vinderup;False;;;18/08 - 2011;;2-4;Sune Tarquini Mårtensson;14610;Avl af smågrise
32305741;1017594377;True;GOSVIG SVINEPRODUKTION ApS;Mollerupvej 25;7860.0;Spøttrup;False;;;02/04 - 2012;;2-4;;14610;Avl af smågrise
26583667;1009079005;True;HORSHOLM A/S;Ulkærvej 11;7100.0;Vejle;False;;;03/04 - 2002;;2-4;;14610;Avl af smågrise
24221512;1006421365;True;Foersom Genetik ApS;Lynggårdsvej 4;6880.0;Tarm;True;;;18/06 - 1999;;10-19;;14610;Avl af smågrise
10001528;1005277149;False;LANGVANG A/S; 3;9999.0;Ukendt;False;;;22/05 - 1973;31/12 - 1973;;;980000;Uoplyst
10001528;1010088689;True;LANGVANG A/S;Grønborgvej 8;6900.0;Skjern;False;;;01/08 - 2003;;10-19;;14610;Avl af smågrise
38921932;1022822795;True;Hedegaard Svineproduktion ApS;Hermodsvej 14;7480.0;Vildbjerg;False;;;31/08 - 2017;;;;14610;Avl af smågrise
38921932;1023156438;False;Hedegaard Svineproduktion ApS;Grønbjergvej 20;6973.0;Ørnhøj;True;97137428.0;;01/10 - 2017;;2-4;;14610;Avl af smågrise
40617159;1024822555;True;Avlscenter Kauergaard A/S;Over Kærsholm Vej 4;8620.0;Kjellerup;True;;;20/06 - 2019;;10-19;;14610;Avl af smågrise
14361073;1022726656;False;Jacobslund;Flemmingvej 16;8762.0;Flemming;True;75671042.0;kontor@siljebjerggaard.dk;30/06 - 2017;;;Siljebjerggaard Svineproduktion Aps;14610;Avl af smågrise
14361073;1000729330;True;SILJEBJERGGAARS SVINEPRODUKTION APS;Bredvadmøllevej 42;8740.0;Brædstrup;False;;;01/01 - 1990;;5-9;;14610;Avl af smågrise
40608338;1024812428;True;Skinnerupgaard ApS;Tranhøjvej 5;7700.0;Thisted;True;;;24/06 - 2019;;5-9;;14610;Avl af smågrise
19202208;1016974230;False;Engbakkegård Svineproduktion;Lummerbækvej 33;6800.0;Varde;False;;dpl@dpl-invest.dk;04/07 - 2011;31/08 - 2014;0;;14610;Avl af smågrise
19202208;1003722702;True;MUNKLINDE MULTISITE A/S;Søbjergvej 83;7441.0;Bording;False;;;01/01 - 1996;;5-9;;14610;Avl af smågrise
20445084;1004329890;True;FREDSHOLM MULTISITE K/S;Hovvasen 9;4983.0;Dannemare;False;;;01/08 - 1997;;5-9;;14610;Avl af smågrise
19720640;1003950265;True;AVDEBOGÅRD SVINEPRODUKTION APS;Bjergskovvej 24;4300.0;Holbæk;False;;;01/07 - 1996;;5-9;;14610;Avl af smågrise
15835443;1000986278;True;BONDETOFTEGAARD A/S;Lillemarken 5;5762.0;Vester Skerninge;False;62241421.0;;01/08 - 1991;;2-4;;14610;Avl af smågrise
26831652;1009390185;True;BREDEBJERGGÅRD SVINEPRODUKTION ApS;Ringstedvej 260;4350.0;Ugerløse;False;;;18/10 - 2002;;5-9;;14610;Avl af smågrise
36455799;1019963485;True;B.E. AGRO ApS;Tueshøj 1;6950.0;Ringkøbing;False;;;25/11 - 2014;;5-9;;14610;Avl af smågrise
40715282;1024945851;True;Melvej Landbrug ApS;Sdr. Højrupvejen 29;5750.0;Ringe;True;;soren@melvejlandbrug.dk;15/08 - 2019;;5-9;;14610;Avl af smågrise
32320589;1016626240;True;FM LANDBRUG ApS;Bredmosevej 18;9352.0;Dybvad;True;51364376.0;fmlandbrug@gmail.com;03/02 - 2011;;10-19;;14610;Avl af smågrise
32320589;1025115925;False;Bås;Båsvej 8;9352.0;Dybvad;True;51364376.0;;09/10 - 2019;;;FM Landbrug ApS;14610;Avl af smågrise
32320589;1025115917;False;Søndergaard;Ovnstrupvej 6;9352.0;Dybvad;True;51364376.0;;09/10 - 2019;;;FM Landbrug ApS;14610;Avl af smågrise
41159782;1025554023;True;Højgaardgris ApS;Lyngbro 9;7950.0;Erslev;True;;;07/02 - 2020;;;;14610;Avl af smågrise
26881455;1009535752;True;GULDHOLT AGRO A/S;Guldforhovedvej 24;7441.0;Bording;False;;;01/11 - 2002;;10-19;;14610;Avl af smågrise
14120475;1000683514;True;AVLSCENTRET KOLLUND A/S DIR GUNNAR VESTERGAARD;Okkelsvej 15;7400.0;Herning;False;96263560.0;;01/05 - 1990;;0;;14610;Avl af smågrise
77309616;1002516833;True;SDR SOLSBÆK SVINEFARM APS;Karupvej 89;9300.0;Sæby;False;98469066.0;;01/10 - 1984;;10-19;;14610;Avl af smågrise
77309616;1016458836;False;Brønderslev Mink;Agersigvej 24;9700.0;Brønderslev;False;;;22/11 - 2010;;2-4;;14610;Avl af smågrise
35145117;1018358553;True;Ferdinandslund ApS;Nissumgårdsvej 10;8660.0;Skanderborg;False;;;21/03 - 2013;;1;;14610;Avl af smågrise
38820060;1022706264;True;GNM 100 ApS;Møllevej 3;6670.0;Holsted;True;;kontor@avlscentermollevang.dk;20/07 - 2017;;;;14610;Avl af smågrise
