CVR;P-nummer;mainPno;namePno;addressPno;zipcodePno;cityPno;protectedPno;phonePno;emailPno;startdatePno;enddatePno;employeesPno;addresscoPno;industrycodePno;industrydescPno
26686997;1001675851;False;SEVEL SLAGTERI A/S;Hvamvej 23, st. tv.;7500;Holstebro;False;;;24/11 - 1966;31/12 - 2003;5-9;;522200;Slagter- og viktualieforretninger
26686997;1009201935;True;SEVEL SLAGTERI A/S;Søgårdvej 28;7830;Vinderup;False;97448308;sevelslagteri@sevelslagteri.dk;01/01 - 2002;;20-49;;101110;Forarbejdning af svinekød
34619069;1017816078;True;MOESGAARD MEAT 2012 A/S;Naurvej 3A;7500;Holstebro;False;;;18/07 - 2012;;20-49;;101110;Forarbejdning af svinekød
13222495;1000523430;True;DANEPORK A/S;Tørskindvej 19;7183;Randbøl;False;75883866;info@danepork.dk;08/05 - 1989;;100-199;;101110;Forarbejdning af svinekød
13201846;1000519483;True;GLUMSØ SLAGTEHUS APS;Søvej 5;4171;Glumsø;False;57646003;;01/01 - 1989;;20-49;;101110;Forarbejdning af svinekød
38904108;1022802999;True;Hvidebæk Meat ApS;Industrivej 17D;4490;Jerslev Sjælland;False;;;01/09 - 2017;;;;101110;Forarbejdning af svinekød
36686278;1020245014;True;Hvidebæk Slagteri og Pølsefabrik ApS;Industrivej 17D;4490;Jerslev Sjælland;False;;;05/03 - 2015;;50-99;;101110;Forarbejdning af svinekød
21613584;1005064899;True;Grillslagteren ApS;Kirkebyvej 6;7700;Thisted;False;97981777;;19/04 - 1999;;0;Lars Jakobsen;101110;Forarbejdning af svinekød
28717121;1011359872;True;SLAGTER ENGDAHL ApS;Industriparken 10;4960;Holeby;False;;;26/05 - 2005;;5-9;;101110;Forarbejdning af svinekød
28717121;1024017105;False;Pølsemageri;Industriparken 10;4960;Holeby;False;;;01/10 - 2018;;;Slagter Engdahl ApS;101300;Produktion af kød- og fjerkrækødprodukter
30920406;1013712804;True;GRAMBOGÅRD A/S;Ellehaven 55;5690;Tommerup;False;64761577;;10/09 - 2007;;10-19;;101110;Forarbejdning af svinekød
37033960;1020670734;True;HP Production ApS;Naurvej 3A;7500;Holstebro;False;97432326;moesgaard@moesgaard-meat.dk;24/08 - 2015;;20-49;;101110;Forarbejdning af svinekød
27654746;1015938354;False;Vester Hæsinge Slagterforretning ApS;Birkevej 37;5672;Broby;False;62631353;vhslagter@mail.dk;25/03 - 2010;31/12 - 2013;2-4;;472200;Slagter- og viktualieforretninger
27654746;1021177675;False;Vester Hæsinge Slagterforretning ApS;Birkevej 37;5672;Broby;False;62631353;vhslagter@mail.dk;02/02 - 2016;03/02 - 2016;;;463200;Engroshandel med kød og kødprodukter
27654746;1021393130;False;"Ringe Slagter &amp; Delikatesser";Jernbanegade 21;5750;Ringe;False;62631353;vhslagter@mail.dk;20/04 - 2016;31/12 - 2016;5-9;;472200;Slagter- og viktualieforretninger
27654746;1010467043;True;VESTER HÆSINGE SLAGTERFORRETNING ApS;Birkevej 37;5672;Broby;False;62631353;vhslagter@mail.dk;22/03 - 2004;;10-19;;101110;Forarbejdning af svinekød
16523844;1001113788;True;INCO SVENDBORG SLAGTEHUS A/S;Porthusvej 75;5700;Svendborg;False;62213278;;01/10 - 1992;;20-49;;101110;Forarbejdning af svinekød
37144789;1020799249;True;Hårby Slagteren IVS;Den Grønne Vej 1;8660;Skanderborg;True;86523010;hs-slagteri@hotmail.dk;08/10 - 2015;;20-49;;101110;Forarbejdning af svinekød
26121264;1016497297;False;Danish Crown A/S;Viddingherredsgade 26;6270;Tønder;False;89191919;dc@danishcrown.dk;10/12 - 2010;31/12 - 2016;0;;101190;Forarbejdning af andet kød
