P-nummer,Startdato,Ophørsdato,Navn,Adresse,Postnr.,By,Hovedbranche,Telefonnr,Email,Reklamebeskyttet,Address_full,Address_full_2,Coordinates,Lat,Lon
1023342525,01.10.2017,,Group Procurement,Engelsholmvej 28,8940,Randers,101110 Forarbejdning af svinekød,89191123.0,sumi@danishcrown.dk,Nej,"Engelsholmvej 28, 8940 Auning","Engelsholmvej 28, 8940 Randers","28, Engelsholmvej, Sønder Borup, Randers, Randers Kommune, Region Midtjylland, 8940, Danmark",56.415908,10.06879
1019284944,01.01.2014,,Concepcion Pimentel Schallert,Auningvej 3,8963,Auning,101110 Forarbejdning af svinekød,,concepcionp3@rougsoes.net,Ja,"Auningvej 3, 8963 Hadsten","Auningvej 3, 8963 Auning",,,
1006345209,01.09.1999,,Jensens Slagtehus Morten Enggrob Jensen,Rigtrupvej 44  -  Voldum,8370,Hadsten,101110 Forarbejdning af svinekød,,information@jensens-slagtehus.dk,Nej,"Rigtrupvej 44  -  Voldum, 8370 Sæby","Rigtrupvej 44  -  Voldum, 8370 Hadsten",,,
1016497157,10.12.2010,,Danish Crown A/S,Wenbovej 9,9300,Sæby,101110 Forarbejdning af svinekød,89191919.0,dc@danishcrown.dk,Nej,"Wenbovej 9, 9300 Holeby","Wenbovej 9, 9300 Sæby","Wenbovej, Langtved, Sæby, Frederikshavn Kommune, Region Nordjylland, 9300, Danmark",57.3322496,10.5124545
1011359872,26.05.2005,,SLAGTER ENGDAHL ApS,Industriparken 10  -  Holeby,4960,Holeby,101110 Forarbejdning af svinekød,,,Nej,"Industriparken 10  -  Holeby, 4960 Vinderup","Industriparken 10  -  Holeby, 4960 Holeby",,,
1009201935,01.01.2002,,SEVEL SLAGTERI A/S,Søgårdvej 28  -  Søgård,7830,Vinderup,101110 Forarbejdning af svinekød,97448308.0,sevelslagteri@sevelslagteri.dk,Nej,"Søgårdvej 28  -  Søgård, 7830 Holstebro","Søgårdvej 28  -  Søgård, 7830 Vinderup",,,
1017816078,18.07.2012,,MOESGAARD MEAT 2012 A/S,Naurvej 3A,7500,Holstebro,101110 Forarbejdning af svinekød,,,Nej,"Naurvej 3A, 7500 Randers","Naurvej 3A, 7500 Holstebro","3A, Naurvej, Strovstrup, Idom Kirkeby, Holstebro Kommune, Region Midtjylland, 7500, Danmark",56.376528,8.517437
1017997676,15.10.2012,,Danish Crown A/S,Tulipvej 1,8940,Randers,101110 Forarbejdning af svinekød,,,Nej,"Tulipvej 1, 8940 Jerslev","Tulipvej 1, 8940 Randers","1, Tulipvej, Sønder Borup, Randers, Randers Kommune, Region Midtjylland, 8940, Danmark",56.412565,10.063672
1020245014,05.03.2015,,Hvidebæk Slagteri og Pølsefabrik ApS,Industrivej 17D  -  Ubby,4490,Jerslev,101110 Forarbejdning af svinekød,,,Nej,"Industrivej 17D  -  Ubby, 4490 Brørup","Industrivej 17D  -  Ubby, 4490 Jerslev","Industrivej, Jerslev, Kelleklinte, Ubby, Kalundborg Kommune, Region Sjælland, 4490, Danmark",55.6139471,11.2163612
1024192039,01.01.2019,,"Tican Fresh Meat A/S, Brørup",Markedsvej 9,6650,Brørup,101110 Forarbejdning af svinekød,99192300.0,tican@tican.dk,Ja,"Markedsvej 9, 6650 Tommerup","Markedsvej 9, 6650 Brørup","9, Markedsvej, Brørup, Vejen Kommune, Region Syddanmark, 6650, Danmark",55.482877,9.011014
1013712804,10.09.2007,,GRAMBOGÅRD A/S,Ellehaven 55,5690,Tommerup,101110 Forarbejdning af svinekød,64761577.0,,Nej,"Ellehaven 55, 5690 Broby","Ellehaven 55, 5690 Tommerup",,,
1010467043,22.03.2004,,VESTER HÆSINGE SLAGTERFORRETNING ApS,Birkevej 37  -  V Hæsinge,5672,Broby,101110 Forarbejdning af svinekød,62631353.0,vhslagter@mail.dk,Nej,"Birkevej 37  -  V Hæsinge, 5672 Thisted","Birkevej 37  -  V Hæsinge, 5672 Broby","Birkevej, Vester Hæsinge, Faaborg-Midtfyn Kommune, Region Syddanmark, 5672, Danmark",55.2084289,10.2483908
1005064899,19.04.1999,,Grillslagteren ApS,c/o Lars Jakobsen -   Kirkebyvej 6  -  Nors,7700,Thisted,101110 Forarbejdning af svinekød,97981777.0,,Nej,"c/o Lars Jakobsen -   Kirkebyvej 6  -  Nors, 7700 Asnæs",   Kirkebyvej 6  ,"6, Kirkebyvej, Hvam Stationsby, Viborg Kommune, Region Midtjylland, 9620, Danmark",56.662906,9.513238
