CVR-nummer,Startdato,Ophørsdato,Navn,Adresse,Postnr.,By,Virksomhedsform,Hovedbranche,Telefonnr,Email,Reklamebeskyttet,Address_full,Address_full_2,Coordinates,Lat,Lon
26686997,01.01.2002,,SEVEL SLAGTERI A/S ,Søgårdvej 28  -  Søgård,7830,Vinderup,Aktieselskab,101110 Forarbejdning af svinekød,97448308.0,sevelslagteri@sevelslagteri.dk,Nej,"Søgårdvej 28  -  Søgård, 7830 Vinderup","Søgårdvej 28  -  Søgård, 7830 Vinderup",,,
34619069,18.07.2012,,MOESGAARD MEAT 2012 A/S ,Naurvej 3A,7500,Holstebro,Aktieselskab,101110 Forarbejdning af svinekød,97432326.0,moesgaard@moesgaard-meat.dk,Nej,"Naurvej 3A, 7500 Holstebro","Naurvej 3A, 7500 Holstebro","3A, Naurvej, Strovstrup, Idom Kirkeby, Holstebro Kommune, Region Midtjylland, 7500, Danmark",56.376528,8.517437
13222495,08.05.1989,,DANEPORK A/S ,Tørskindvej 19,7183,Randbøl,Aktieselskab,101110 Forarbejdning af svinekød,75883866.0,info@danepork.dk,Ja,"Tørskindvej 19, 7183 Randbøl","Tørskindvej 19, 7183 Randbøl",,,
13201846,28.06.1989,,GLUMSØ SLAGTEHUS ApS ,Søvej 5,4171,Glumsø,Anpartsselskab,101110 Forarbejdning af svinekød,57646003.0,,Nej,"Søvej 5, 4171 Glumsø","Søvej 5, 4171 Glumsø","5, Søvej, Glumsø, Næstved Kommune, Region Sjælland, 4171, Danmark",55.350791,11.690383
38904108,01.09.2017,,Hvidebæk Meat ApS ,Industrivej 17D  -  Ubby,4490,Jerslev,Anpartsselskab,101110 Forarbejdning af svinekød,,,Nej,"Industrivej 17D  -  Ubby, 4490 Jerslev","Industrivej 17D  -  Ubby, 4490 Jerslev","Industrivej, Jerslev, Kelleklinte, Ubby, Kalundborg Kommune, Region Sjælland, 4490, Danmark",55.6139471,11.2163612
36686278,05.03.2015,,Hvidebæk Slagteri og Pølsefabrik ApS ,Industrivej 17D  -  Ubby,4490,Jerslev,Anpartsselskab,101110 Forarbejdning af svinekød,,,Nej,"Industrivej 17D  -  Ubby, 4490 Jerslev","Industrivej 17D  -  Ubby, 4490 Jerslev","Industrivej, Jerslev, Kelleklinte, Ubby, Kalundborg Kommune, Region Sjælland, 4490, Danmark",55.6139471,11.2163612
21613584,19.04.1999,,Grillslagteren ApS ,c/o Lars Jakobsen -   Kirkebyvej 6  -  Nors,7700,Thisted,Anpartsselskab,101110 Forarbejdning af svinekød,30103829.0,info@grillslagteren.dk,Ja,"c/o Lars Jakobsen -   Kirkebyvej 6  -  Nors, 7700 Thisted",   Kirkebyvej 6  ,"6, Kirkebyvej, Hvam Stationsby, Viborg Kommune, Region Midtjylland, 9620, Danmark",56.662906,9.513238
28717121,26.05.2005,,SLAGTER ENGDAHL ApS ,Industriparken 10  -  Holeby,4960,Holeby,Anpartsselskab,101110 Forarbejdning af svinekød,,,Nej,"Industriparken 10  -  Holeby, 4960 Holeby","Industriparken 10  -  Holeby, 4960 Holeby",,,
30920406,10.09.2007,,GRAMBOGÅRD A/S ,Ellehaven 55,5690,Tommerup,Aktieselskab,101110 Forarbejdning af svinekød,64761577.0,,Nej,"Ellehaven 55, 5690 Tommerup","Ellehaven 55, 5690 Tommerup",,,
37033960,24.08.2015,,HP Production ApS ,Naurvej 3A,7500,Holstebro,Anpartsselskab,101110 Forarbejdning af svinekød,97432326.0,moesgaard@moesgaard-meat.dk,Nej,"Naurvej 3A, 7500 Holstebro","Naurvej 3A, 7500 Holstebro","3A, Naurvej, Strovstrup, Idom Kirkeby, Holstebro Kommune, Region Midtjylland, 7500, Danmark",56.376528,8.517437
