CVR-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet;Address_full;Lat;Lon
26686997;01.01.2002;;SEVEL SLAGTERI A/S ;Søgårdvej 28  -  Søgård;7830;Vinderup;Aktieselskab;101110 Forarbejdning af svinekød;97448308.0;sevelslagteri@sevelslagteri.dk;Nej;Søgårdvej 28  -  Søgård, 7830 Vinderup;56.4598673;8.8789502
34619069;18.07.2012;;MOESGAARD MEAT 2012 A/S ;Naurvej 3A;7500;Holstebro;Aktieselskab;101110 Forarbejdning af svinekød;97432326.0;moesgaard@moesgaard-meat.dk;Nej;Naurvej 3A, 7500 Holstebro;56.376528;8.517437
13222495;08.05.1989;;DANEPORK A/S ;Tørskindvej 19;7183;Randbøl;Aktieselskab;101110 Forarbejdning af svinekød;75883866.0;info@danepork.dk;Ja;Tørskindvej 19, 7183 Randbøl;55.69449;9.31451
13201846;28.06.1989;;GLUMSØ SLAGTEHUS ApS ;Søvej 5;4171;Glumsø;Anpartsselskab;101110 Forarbejdning af svinekød;57646003.0;;Nej;Søvej 5, 4171 Glumsø;55.350791;11.690383
38904108;01.09.2017;;Hvidebæk Meat ApS ;Industrivej 17D  -  Ubby;4490;Jerslev;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;Industrivej 17D  -  Ubby, 4490 Jerslev;55.6139471;11.2163612
36686278;05.03.2015;;Hvidebæk Slagteri og Pølsefabrik ApS ;Industrivej 17D  -  Ubby;4490;Jerslev;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;Industrivej 17D  -  Ubby, 4490 Jerslev;55.6139471;11.2163612
21613584;19.04.1999;;Grillslagteren ApS ;c/o Lars Jakobsen -   Kirkebyvej 6  -  Nors;7700;Thisted;Anpartsselskab;101110 Forarbejdning af svinekød;30103829.0;info@grillslagteren.dk;Ja;c/o Lars Jakobsen -   Kirkebyvej 6  -  Nors, 7700 Thisted;57.0223;8.67704
28717121;26.05.2005;;SLAGTER ENGDAHL ApS ;Industriparken 10  -  Holeby;4960;Holeby;Anpartsselskab;101110 Forarbejdning af svinekød;;;Nej;Industriparken 10  -  Holeby, 4960 Holeby;54.72615;11.4588
30920406;10.09.2007;;GRAMBOGÅRD A/S ;Ellehaven 55;5690;Tommerup;Aktieselskab;101110 Forarbejdning af svinekød;64761577.0;;Nej;Ellehaven 55, 5690 Tommerup;55.31235;10.216
37033960;24.08.2015;;HP Production ApS ;Naurvej 3A;7500;Holstebro;Anpartsselskab;101110 Forarbejdning af svinekød;97432326.0;moesgaard@moesgaard-meat.dk;Nej;Naurvej 3A, 7500 Holstebro;56.376528;8.517437
27654746;22.03.2004;;VESTER HÆSINGE SLAGTERFORRETNING ApS ;c/o Stefan Jensen -   Gl. Stenderupvej 30  -  Gl Stenderup;5672;Broby;Anpartsselskab;101110 Forarbejdning af svinekød;62631853.0;vhslagter@mail.dk;Nej;c/o Stefan Jensen -   Gl. Stenderupvej 30  -  Gl Stenderup, 5672 Broby;56.25517654418945;14.078045845031738
16523844;01.10.1992;;INCO SVENDBORG SLAGTEHUS A/S ;Porthusvej 75;5700;Svendborg;Aktieselskab;101110 Forarbejdning af svinekød;62213278.0;;Nej;Porthusvej 75, 5700 Svendborg;55.073755;10.609686
37144789;08.10.2015;;Hårby Slagteren IVS ;Den Grønne Vej 1  -  Hårby;8660;Skanderborg;Iværksætterselskab;101110 Forarbejdning af svinekød;86523010.0;hs-slagteri@hotmail.dk;Ja;Den Grønne Vej 1  -  Hårby, 8660 Skanderborg;56.08117;9.89445
26121264;01.07.2001;;DANISH CROWN A/S ;Marsvej 43;8960;Randers;Aktieselskab;101110 Forarbejdning af svinekød;89191919.0;;Nej;Marsvej 43, 8960 Randers;56.429993;10.059764
26786576;18.09.2002;;TICAN FRESH MEAT A/S ;Strandvejen 6;7700;Thisted;Aktieselskab;101110 Forarbejdning af svinekød;99192300.0;TICAN@TICAN.DK;Nej;Strandvejen 6, 7700 Thisted;56.954275;8.69977
39547430;07.05.2018;;Jensen's Slagtehus ApS under tvangsopløsning;Rigtrupvej 44  -  Voldum;8370;Hadsten;Anpartsselskab;101110 Forarbejdning af svinekød;86491416.0;information@jensens-slagtehus.dk;Ja;Rigtrupvej 44  -  Voldum, 8370 Hadsten;56.368011;10.1861815
14641998;01.11.1990;;HØVE SLAGTERI ;c/o Slagtermester Jan Lund -   Høvevej 65;4550;Asnæs;Enkeltmandsvirksomhed;101110 Forarbejdning af svinekød;59316886.0;;Ja;c/o Slagtermester Jan Lund -   Høvevej 65, 4550 Asnæs;55.83603;11.48677
